id_distributor,id_cabang,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,unit,harga,mata_uang,brand_id,lini
TD,CAB01,IN6131,2022-01-27,CUST55418,BRG0009,10,DUS,5780.7,IDR,BRND009,VNS
TA,CAB02,IN6262,2022-01-28,CUST55419,BRG0010,67,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB03,IN6028,2022-01-23,CUST55420,BRG0001,98,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB01,IN6163,2022-01-30,CUST55421,BRG0002,5,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB01,IN6191,2022-01-31,CUST55422,BRG0003,4,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB02,IN6274,2022-02-01,CUST55423,BRG0004,8,DUS,8700.7,IDR,BRND004,VNS
TD,CAB03,IN6003,2022-01-27,CUST55424,BRG0005,9,DUS,5648.3,IDR,BRND005,SLCYL
TA,CAB04,IN6247,2022-01-28,CUST55425,BRG0006,10,DUS,2819.2,IDR,BRND006,OGB & PH
EPM,CAB05,IN6311,2022-01-23,CUST55426,BRG0007,7,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB06,IN6248,2022-01-30,CUST55427,BRG0008,100,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB07,IN6042,2022-01-31,CUST55428,BRG0009,67,DUS,5780.7,IDR,BRND009,VNS
TA,CAB08,IN6133,2022-02-01,CUST55429,BRG0010,78,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB09,IN6306,2022-01-27,CUST55430,BRG0001,45,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB10,IN6253,2022-01-28,CUST55431,BRG0002,34,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB01,IN5980,2022-01-23,CUST55432,BRG0003,20,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB01,IN6104,2022-01-30,CUST55433,BRG0004,45,DUS,8700.7,IDR,BRND004,VNS
TD,CAB02,IN6050,2022-01-31,CUST55434,BRG0005,34,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB03,IN6054,2022-02-01,CUST55435,BRG0006,34,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB01,IN6219,2022-01-27,CUST55436,BRG0001,34,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB01,IN6053,2022-01-28,CUST55437,BRG0002,44,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB02,IN6217,2022-01-23,CUST55438,BRG0003,5,DUS,5780.7,IDR,BRND009,VNS
TA,CAB03,IN6323,2022-01-30,CUST55439,BRG0004,6,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB04,IN6241,2022-01-31,CUST55440,BRG0001,79,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB05,IN6134,2022-02-01,CUST55441,BRG0002,12,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB06,IN6124,2022-01-27,CUST55442,BRG0003,95,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB07,IN5981,2022-01-28,CUST55443,BRG0004,76,DUS,8700.7,IDR,BRND004,VNS
TD,CAB08,IN6220,2022-01-23,CUST55444,BRG0005,48,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB09,IN6122,2022-01-30,CUST55445,BRG0006,21,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB10,IN6255,2022-01-31,CUST55446,BRG0007,22,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB01,IN6005,2022-02-01,CUST55447,BRG0008,12,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB01,IN6327,2022-01-27,CUST55448,BRG0009,25,DUS,5780.7,IDR,BRND009,VNS
TA,CAB02,IN6119,2022-01-28,CUST55449,BRG0010,14,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB03,IN6233,2022-01-23,CUST55450,BRG0001,24,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB01,IN6235,2022-01-30,CUST55451,BRG0002,10,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB01,IN6263,2022-01-31,CUST55452,BRG0003,130,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB02,IN6269,2022-02-01,CUST55453,BRG0004,12,DUS,8700.7,IDR,BRND004,VNS
TD,CAB03,IN6188,2022-01-27,CUST55454,BRG0005,10,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB04,IN6116,2022-01-28,CUST55455,BRG0006,67,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB05,IN6216,2022-01-23,CUST55456,BRG0007,98,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB06,IN6099,2022-01-30,CUST55457,BRG0008,5,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB07,IN6326,2022-01-31,CUST55458,BRG0009,4,DUS,5780.7,IDR,BRND009,VNS
TA,CAB08,IN6267,2022-02-01,CUST55459,BRG0010,8,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB09,IN6238,2022-01-27,CUST55460,BRG0001,9,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB10,IN6214,2022-01-28,CUST55461,BRG0002,21,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB01,IN6318,2022-01-23,CUST55462,BRG0003,22,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB01,IN6256,2022-01-30,CUST55463,BRG0004,12,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB02,IN6048,2022-01-31,CUST55464,BRG0005,25,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB03,IN6120,2022-02-01,CUST55465,BRG0006,14,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB01,IN6161,2022-01-27,CUST55466,BRG0001,24,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB01,IN6292,2022-01-28,CUST55467,BRG0002,10,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB02,IN6286,2022-01-23,CUST55468,BRG0003,120,DUS,5780.7,IDR,BRND009,VNS
TA,CAB03,IN6008,2022-01-30,CUST55469,BRG0004,12,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB04,IN6040,2022-01-31,CUST55470,BRG0001,10,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB05,IN6084,2022-02-01,CUST55471,BRG0002,67,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB06,IN6074,2022-01-27,CUST55472,BRG0003,98,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB07,IN6200,2022-01-28,CUST55473,BRG0004,5,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB08,IN6065,2022-01-23,CUST55474,BRG0005,4,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB09,IN6208,2022-01-30,CUST55475,BRG0006,8,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB10,IN6148,2022-01-31,CUST55476,BRG0007,9,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB01,IN6072,2022-02-01,CUST55477,BRG0008,1,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB01,IN6095,2022-01-27,CUST55478,BRG0009,5,DUS,5780.7,IDR,BRND009,VNS
TA,CAB02,IN6049,2022-01-28,CUST55479,BRG0010,9,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB03,IN6039,2022-01-23,CUST55480,BRG0001,13,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB01,IN6276,2022-01-30,CUST55481,BRG0002,1,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB01,IN6015,2022-01-31,CUST55482,BRG0003,5,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB02,IN6185,2022-02-01,CUST55483,BRG0004,9,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB03,IN6258,2022-01-27,CUST55484,BRG0005,1,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB04,IN6070,2022-01-28,CUST55485,BRG0006,23,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB05,IN6210,2022-01-23,CUST55486,BRG0007,4,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB06,IN6083,2022-01-30,CUST55487,BRG0008,2,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB07,IN6322,2022-01-31,CUST55488,BRG0009,17,DUS,5780.7,IDR,BRND009,VNS
TD,CAB08,IN6291,2022-02-01,CUST55489,BRG0010,11,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB09,IN6062,2022-01-27,CUST55490,BRG0001,12,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB10,IN6167,2022-01-28,CUST55491,BRG0002,12,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB01,IN6289,2022-01-23,CUST55492,BRG0003,25,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB01,IN6305,2022-01-30,CUST55493,BRG0004,14,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB02,IN6079,2022-01-31,CUST55494,BRG0005,34,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB03,IN6320,2022-02-01,CUST55495,BRG0006,67,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB01,IN6103,2022-01-27,CUST55496,BRG0001,15,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB01,IN6172,2022-01-28,CUST55497,BRG0002,12,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB02,IN6183,2022-01-23,CUST55498,BRG0003,25,DUS,5780.7,IDR,BRND009,VNS
TD,CAB03,IN6278,2022-01-30,CUST55499,BRG0004,14,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB04,IN6186,2022-01-31,CUST55500,BRG0001,18,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB05,IN6211,2022-02-01,CUST55501,BRG0002,18,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB06,IN6118,2022-01-27,CUST55502,BRG0003,19,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB07,IN6162,2022-01-28,CUST55503,BRG0004,12,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB08,IN6221,2022-01-23,CUST55504,BRG0005,25,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB09,IN6170,2022-01-30,CUST55505,BRG0006,14,DUS,2819.2,IDR,BRND006,OGB & PH
TA,CAB10,IN6045,2022-01-31,CUST55506,BRG0007,21,DUS,4592.1,IDR,BRND007,ETIKAL
EPM,CAB01,IN6300,2022-02-01,CUST55507,BRG0008,22,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB01,IN6228,2022-01-27,CUST55508,BRG0009,12,DUS,5780.7,IDR,BRND009,VNS
TD,CAB02,IN6199,2022-01-28,CUST55509,BRG0010,25,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB03,IN6215,2022-01-23,CUST55510,BRG0001,14,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB01,IN6107,2022-01-30,CUST55511,BRG0002,24,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB01,IN6152,2022-01-31,CUST55512,BRG0003,10,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB02,IN6017,2022-02-01,CUST55513,BRG0004,23,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB03,IN6299,2022-01-27,CUST55514,BRG0005,12,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB04,IN6064,2022-01-28,CUST55515,BRG0006,10,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB05,IN6308,2022-01-23,CUST55516,BRG0007,67,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB06,IN6038,2022-01-30,CUST55517,BRG0008,98,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB07,IN6130,2022-01-31,CUST55518,BRG0009,5,DUS,5780.7,IDR,BRND009,VNS
TD,CAB08,IN6293,2022-02-01,CUST55519,BRG0010,4,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB09,IN6205,2022-01-27,CUST55520,BRG0001,8,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB10,IN6325,2022-01-28,CUST55521,BRG0002,9,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB01,IN6317,2022-01-23,CUST55522,BRG0003,10,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB01,IN6025,2022-01-30,CUST55523,BRG0004,7,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB02,IN6203,2022-01-31,CUST55524,BRG0005,100,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB03,IN6243,2022-02-01,CUST55525,BRG0006,67,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB01,IN6136,2022-01-27,CUST55526,BRG0001,78,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB01,IN6314,2022-01-28,CUST55527,BRG0002,45,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB02,IN6202,2022-01-23,CUST55528,BRG0003,34,DUS,5780.7,IDR,BRND009,VNS
TD,CAB03,IN6279,2022-01-30,CUST55529,BRG0004,20,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB04,IN6196,2022-01-31,CUST55530,BRG0001,45,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB05,IN6266,2022-02-01,CUST55531,BRG0002,34,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB06,IN6058,2022-01-27,CUST55532,BRG0003,34,DUS,10690.6,IDR,BRND003,MARCKS
TA,CAB07,IN6246,2022-01-28,CUST55533,BRG0004,34,DUS,8700.7,IDR,BRND004,VNS
EPM,CAB08,IN6242,2022-01-23,CUST55534,BRG0005,44,DUS,5648.3,IDR,BRND005,SLCYL
TD,CAB09,IN5982,2022-01-30,CUST55535,BRG0006,5,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB10,IN6068,2022-01-31,CUST55536,BRG0007,6,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB01,IN6128,2022-02-01,CUST55537,BRG0008,79,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB01,IN6066,2022-01-27,CUST55538,BRG0009,12,DUS,5780.7,IDR,BRND009,VNS
TD,CAB02,IN6303,2022-01-28,CUST55539,BRG0010,95,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB03,IN6284,2022-01-23,CUST55540,BRG0001,76,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB01,IN6240,2022-01-30,CUST55541,BRG0002,48,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB01,IN6244,2022-01-31,CUST55542,BRG0003,21,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB02,IN6060,2022-02-01,CUST55543,BRG0004,22,DUS,8700.7,IDR,BRND004,VNS
TA,CAB03,IN6254,2022-02-02,CUST55544,BRG0005,12,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB04,IN6171,2022-02-03,CUST55545,BRG0006,25,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB05,IN6002,2022-02-04,CUST55546,BRG0007,14,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB06,IN6261,2022-02-05,CUST55547,BRG0008,24,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB07,IN6088,2022-02-06,CUST55548,BRG0009,10,DUS,5780.7,IDR,BRND009,VNS
TD,CAB08,IN6181,2022-02-07,CUST55549,BRG0010,130,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB09,IN6135,2022-02-08,CUST55550,BRG0001,12,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB10,IN5988,2022-02-09,CUST55551,BRG0002,10,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB01,IN6234,2022-02-10,CUST55552,BRG0003,67,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB01,IN6319,2022-02-11,CUST55553,BRG0004,98,DUS,8700.7,IDR,BRND004,VNS
TA,CAB02,IN6006,2022-02-12,CUST55554,BRG0005,5,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB03,IN6147,2022-02-13,CUST55555,BRG0006,4,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB01,IN6129,2022-02-14,CUST55556,BRG0001,8,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB01,IN5986,2022-02-15,CUST55557,BRG0002,9,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB02,IN6026,2022-02-16,CUST55558,BRG0003,21,DUS,5780.7,IDR,BRND009,VNS
TD,CAB03,IN6224,2022-02-17,CUST55559,BRG0004,22,DUS,6940.3,IDR,BRND010,SLCYL
TA,CAB04,IN6087,2022-02-18,CUST55560,BRG0001,12,DUS,1169.91,IDR,BRND001,OGB & PH
EPM,CAB05,IN6096,2022-02-19,CUST55561,BRG0002,25,DUS,2337.5,IDR,BRND002,ETIKAL
TD,CAB06,IN6034,2022-02-20,CUST55562,BRG0003,14,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB07,IN6231,2022-02-21,CUST55563,BRG0004,24,DUS,8700.7,IDR,BRND004,VNS
TA,CAB08,IN6260,2022-02-22,CUST55564,BRG0005,10,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB09,IN6302,2022-02-23,CUST55565,BRG0006,120,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB10,IN6061,2022-02-24,CUST55566,BRG0007,12,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB01,IN6011,2022-02-25,CUST55567,BRG0008,10,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB01,IN6275,2022-02-26,CUST55568,BRG0009,67,DUS,5780.7,IDR,BRND009,VNS
TD,CAB02,IN6114,2022-02-27,CUST55569,BRG0010,98,DUS,6940.3,IDR,BRND010,SLCYL
TD,CAB03,IN6041,2022-02-28,CUST55570,BRG0001,5,DUS,1169.91,IDR,BRND001,OGB & PH
TA,CAB01,IN6069,2022-03-01,CUST55571,BRG0002,4,DUS,2337.5,IDR,BRND002,ETIKAL
EPM,CAB01,IN6239,2022-03-02,CUST55572,BRG0003,8,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB02,IN6137,2022-03-03,CUST55573,BRG0004,9,DUS,8700.7,IDR,BRND004,VNS
TA,CAB03,IN6189,2022-03-04,CUST55574,BRG0005,1,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB04,IN6229,2022-03-05,CUST55575,BRG0006,5,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB05,IN6110,2022-03-06,CUST55576,BRG0007,9,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB06,IN6182,2022-03-07,CUST55577,BRG0008,13,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB07,IN6164,2022-03-08,CUST55578,BRG0009,1,DUS,5780.7,IDR,BRND009,VNS
TD,CAB08,IN6016,2022-03-09,CUST55579,BRG0010,5,DUS,6940.3,IDR,BRND010,SLCYL
TD,CAB09,IN6043,2022-03-10,CUST55580,BRG0001,9,DUS,1169.91,IDR,BRND001,OGB & PH
TA,CAB10,IN6020,2022-03-11,CUST55581,BRG0002,1,DUS,2337.5,IDR,BRND002,ETIKAL
EPM,CAB01,IN6206,2022-03-12,CUST55582,BRG0003,23,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB01,IN6055,2022-03-13,CUST55583,BRG0004,4,DUS,8700.7,IDR,BRND004,VNS
TA,CAB02,IN6092,2022-03-14,CUST55584,BRG0005,2,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB03,IN6177,2022-03-15,CUST55585,BRG0006,17,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB01,IN6209,2022-03-16,CUST55586,BRG0001,11,DUS,4592.1,IDR,BRND007,ETIKAL
TA,CAB01,IN6250,2022-03-17,CUST55587,BRG0002,12,DUS,3991.9,IDR,BRND008,MARCKS
EPM,CAB02,IN6193,2022-03-18,CUST55588,BRG0003,12,DUS,5780.7,IDR,BRND009,VNS
TD,CAB03,IN6081,2022-03-19,CUST55589,BRG0004,25,DUS,6940.3,IDR,BRND010,SLCYL
TD,CAB04,IN6149,2022-03-20,CUST55590,BRG0001,14,DUS,1169.91,IDR,BRND001,OGB & PH
TA,CAB05,IN6014,2022-03-21,CUST55591,BRG0002,34,DUS,2337.5,IDR,BRND002,ETIKAL
EPM,CAB06,IN6290,2022-03-22,CUST55592,BRG0003,67,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB07,IN6051,2022-03-23,CUST55593,BRG0004,15,DUS,8700.7,IDR,BRND004,VNS
TA,CAB08,IN6076,2022-03-24,CUST55594,BRG0005,12,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB09,IN6140,2022-03-25,CUST55595,BRG0006,25,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB10,IN6080,2022-03-26,CUST55596,BRG0007,14,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB01,IN6153,2022-03-27,CUST55597,BRG0008,18,DUS,3991.9,IDR,BRND008,MARCKS
TA,CAB01,IN5979,2022-03-28,CUST55598,BRG0009,18,DUS,5780.7,IDR,BRND009,VNS
EPM,CAB02,IN6098,2022-03-29,CUST55599,BRG0010,19,DUS,6940.3,IDR,BRND010,SLCYL
TD,CAB03,IN6078,2022-03-30,CUST55600,BRG0001,12,DUS,1169.91,IDR,BRND001,OGB & PH
TA,CAB01,IN6085,2022-03-31,CUST55601,BRG0002,25,DUS,2337.5,IDR,BRND002,ETIKAL
EPM,CAB01,IN6018,2022-04-01,CUST55602,BRG0003,14,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB02,IN6001,2022-04-02,CUST55603,BRG0004,21,DUS,8700.7,IDR,BRND004,VNS
TA,CAB03,IN6271,2022-04-03,CUST55604,BRG0005,22,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB04,IN6207,2022-04-04,CUST55605,BRG0006,12,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB05,IN6187,2022-04-05,CUST55606,BRG0007,25,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB06,IN5995,2022-04-06,CUST55607,BRG0008,14,DUS,3991.9,IDR,BRND008,MARCKS
TA,CAB07,IN6156,2022-04-07,CUST55608,BRG0009,24,DUS,5780.7,IDR,BRND009,VNS
EPM,CAB08,IN6232,2022-04-08,CUST55609,BRG0010,10,DUS,6940.3,IDR,BRND010,SLCYL
TD,CAB09,IN5998,2022-04-09,CUST55610,BRG0001,23,DUS,1169.91,IDR,BRND001,OGB & PH
TA,CAB10,IN6227,2022-04-10,CUST55611,BRG0002,12,DUS,2337.5,IDR,BRND002,ETIKAL
EPM,CAB01,IN6027,2022-04-11,CUST55612,BRG0003,10,DUS,10690.6,IDR,BRND003,MARCKS
TD,CAB01,IN6157,2022-04-12,CUST55613,BRG0004,67,DUS,8700.7,IDR,BRND004,VNS
TA,CAB02,IN6180,2022-04-13,CUST55614,BRG0005,98,DUS,5648.3,IDR,BRND005,SLCYL
EPM,CAB03,IN6257,2022-04-14,CUST55615,BRG0006,5,DUS,2819.2,IDR,BRND006,OGB & PH
TD,CAB01,IN6031,2022-04-15,CUST55616,BRG0001,4,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB01,IN6082,2022-04-16,CUST55617,BRG0002,8,DUS,3991.9,IDR,BRND008,MARCKS
